Target,Plank,4
Air,Air,Air
Air,Air,Air
LogOak,Air,Air
Target,Stick,4
Air,Air,Air
Plank,Air,Air
Plank,Air,Air
Target,DoorWood,1
Plank,Plank,Air
Plank,Plank,Air
Plank,Plank,Air
Target,CraftingTable,1
Air,Air,Air
Plank,Plank,Air
Plank,Plank,Air
Target,Ladder,4
Stick,Air,Stick
Stick,Stick,Stick
Stick,Air,Stick
Target,StairsOak,4
Air,Air,Plank
Air,Plank,Plank
Plank,Plank,Plank
Target,Chest,1
Plank,Plank,Plank
Plank,Air,Plank
Plank,Plank,Plank
Target,Furnace,1
CobbleStone,CobbleStone,CobbleStone
CobbleStone,Air,CobbleStone
CobbleStone,CobbleStone,CobbleStone
Target,DirtWall,9
Dirt,Dirt,Dirt
Dirt,Dirt,Dirt
Dirt,Dirt,Dirt
Target,StoneWall,9
Stone,Stone,Stone
Stone,Stone,Stone
Stone,Stone,Stone
Target,PlankWall,9
Plank,Plank,Plank
Plank,Plank,Plank
Plank,Plank,Plank
Target,SandWall,9
Sand,Sand,Sand
Sand,Sand,Sand
Sand,Sand,Sand
Target,BedrockWall,9
Bedrock,Bedrock,Bedrock
Bedrock,Bedrock,Bedrock
Bedrock,Bedrock,Bedrock
Target,WoodSword,1
Air,Plank,Air
Air,Plank,Air
Air,Stick,Air
Target,WoodPickaxe,1
Plank,Plank,Plank
Air,Stick,Air
Air,Stick,Air
Target,WoodAxe,1
Plank,Plank,Air
Plank,Stick,Air
Air,Stick,Air
Target,WoodShovel,1
Air,Plank,Air
Air,Stick,Air
Air,Stick,Air
Target,WoodHoe,1
Plank,Plank,Air
Air,Stick,Air
Air,Stick,Air
Target,WoodHammer,1
Plank,Plank,Plank
Plank,Plank,Plank
Air,Stick,Air
Target,StoneSword,1
Air,CobbleStone,Air
Air,CobbleStone,Air
Air,Stick,Air
Target,StonePickaxe,1
CobbleStone,CobbleStone,CobbleStone
Air,Stick,Air
Air,Stick,Air
Target,StoneAxe,1
CobbleStone,CobbleStone,Air
CobbleStone,Stick,Air
Air,Stick,Air
Target,StoneShovel,1
Air,CobbleStone,Air
Air,Stick,Air
Air,Stick,Air
Target,StoneHoe,1
CobbleStone,CobbleStone,Air
Air,Stick,Air
Air,Stick,Air
Target,StoneHammer,1
CobbleStone,CobbleStone,CobbleStone
CobbleStone,CobbleStone,CobbleStone
Air,Stick,Air
Target,IronSword,1
Air,IronIngot,Air
Air,IronIngot,Air
Air,Stick,Air
Target,IronPickaxe,1
IronIngot,IronIngot,IronIngot
Air,Stick,Air
Air,Stick,Air
Target,IronAxe,1
IronIngot,IronIngot,Air
IronIngot,Stick,Air
Air,Stick,Air
Target,IronShovel,1
Air,IronIngot,Air
Air,Stick,Air
Air,Stick,Air
Target,IronHoe,1
IronIngot,IronIngot,Air
Air,Stick,Air
Air,Stick,Air
Target,IronHammer,1
IronIngot,IronIngot,IronIngot
IronIngot,IronIngot,IronIngot
Air,Stick,Air
Target,BucketEmpty,1
Air,Air,Air
IronIngot,Air,IronIngot
Air,IronIngot,Air
Target,GoldSword,1
Air,GoldIngot,Air
Air,GoldIngot,Air
Air,Stick,Air
Target,GoldPickaxe,1
GoldIngot,GoldIngot,GoldIngot
Air,Stick,Air
Air,Stick,Air
Target,GoldAxe,1
GoldIngot,GoldIngot,Air
GoldIngot,Stick,Air
Air,Stick,Air
Target,GoldShovel,1
Air,GoldIngot,Air
Air,Stick,Air
Air,Stick,Air
Target,GoldHoe,1
GoldIngot,GoldIngot,Air
Air,Stick,Air
Air,Stick,Air
Target,GoldHammer,1
GoldIngot,GoldIngot,GoldIngot
GoldIngot,GoldIngot,GoldIngot
Air,Stick,Air
Target,DiamondSword,1
Air,Diamond,Air
Air,Diamond,Air
Air,Stick,Air
Target,DiamondPickaxe,1
Diamond,Diamond,Diamond
Air,Stick,Air
Air,Stick,Air
Target,DiamondAxe,1
Diamond,Diamond,Air
Diamond,Stick,Air
Air,Stick,Air
Target,DiamondShovel,1
Air,Diamond,Air
Air,Stick,Air
Air,Stick,Air
Target,DiamondHoe,1
Diamond,Diamond,Air
Air,Stick,Air
Air,Stick,Air
Target,DiamondHammer,1
Diamond,Diamond,Diamond
Diamond,Diamond,Diamond
Air,Stick,Air
Target,Torch,4
Air,Air,Air
Coal,Air,Air
Stick,Air,Air
Target,CharTorch,4
Air,Air,Air
CharCoal,Air,Air
Stick,Air,Air
Target,IronHelmet,1
IronIngot,IronIngot,IronIngot
IronIngot,Air,IronIngot
Air,Air,Air
Target,IronChestplate,1
IronIngot,Air,IronIngot
IronIngot,IronIngot,IronIngot
IronIngot,IronIngot,IronIngot
Target,IronLeggings,1
IronIngot,IronIngot,IronIngot
IronIngot,Air,IronIngot
IronIngot,Air,IronIngot
Target,IronBoots,1
Air,Air,Air
IronIngot,Air,IronIngot
IronIngot,Air,IronIngot
Target,GoldHelmet,1
GoldIngot,GoldIngot,GoldIngot
GoldIngot,Air,GoldIngot
Air,Air,Air
Target,GoldChestplate,1
GoldIngot,Air,GoldIngot
GoldIngot,GoldIngot,GoldIngot
GoldIngot,GoldIngot,GoldIngot
Target,GoldLeggings,1
GoldIngot,GoldIngot,GoldIngot
GoldIngot,Air,GoldIngot
GoldIngot,Air,GoldIngot
Target,GoldBoots,1
Air,Air,Air
GoldIngot,Air,GoldIngot
GoldIngot,Air,GoldIngot
Target,DiamondHelmet,1
Diamond,Diamond,Diamond
Diamond,Air,Diamond
Air,Air,Air
Target,DiamondChestplate,1
Diamond,Air,Diamond
Diamond,Diamond,Diamond
Diamond,Diamond,Diamond
Target,DiamondLeggings,1
Diamond,Diamond,Diamond
Diamond,Air,Diamond
Diamond,Air,Diamond
Target,DiamondBoots,1
Air,Air,Air
Diamond,Air,Diamond
Diamond,Air,Diamond
